domain,problem,variant,model,parsable,executability,reachability,conditional_reachability,plan_length,plan_length_metric,first_failure_step,strict_final_value,non_executable_failure,non_executable_failure_parse_share,parse_error_flag,state_execution_error_flag,validator_timeout_flag,legacy_cost,legacy_gap,bug_optimal,optimality_ratio,optimal_cost,optimal_plan_length,matching_actions,insertions,deletions,total_distance,normalized_distance,llm_actions_count,optimal_actions_count,deprecated_kendall_tau_inversions,deprecated_insertions,deprecated_deletions,deprecated_total_distance,deprecated_normalized_distance,reasoning_enabled,duration_sec,prompt_tokens,completion_tokens,total_tokens
folding,p01,frequency,mimo-v2-flash,True,False,False,,16,16.0,10.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,70,8,8,62,70,0.814,16,70,0,-54,0,-54,-0.0217,True,3.89,4433,275,4708
folding,p01,frequency,qwen3-5-35b-a3b-alibaba,True,False,False,,77,77.0,8.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,70,13,64,57,121,0.8231,77,70,889,7,0,896,0.3606,True,90.9,4818,15375,20193
folding,p01,dispersion,gpt-5-mini,True,True,True,True,70,70.0,,7.0,,,False,False,False,7.0,0.0,False,1.0,7.0,70,13,57,57,114,0.8143,70,70,714,0,0,714,0.2873,True,165.79,4198,13365,17563
folding,p01,dispersion,grok-4-1-fast,True,True,True,True,70,70.0,,7.0,,,False,False,False,7.0,0.0,False,1.0,7.0,70,13,57,57,114,0.8143,70,70,714,0,0,714,0.2873,True,126.59,4309,16035,20344
folding,p01,dispersion,mimo-v2-flash,True,False,False,,16,16.0,9.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,70,4,12,66,78,0.907,16,70,0,-54,0,-54,-0.0217,True,3.23,4433,299,4732
folding,p01,dispersion,qwen3-5-35b-a3b-alibaba,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,7.0,70,0,0,70,70,1.0,0,70,0,0,70,70,0.0282,True,169.61,4818,15329,20147
folding,p01,random_01,gpt-5-mini,True,True,True,True,70,70.0,,7.0,,,False,False,False,7.0,0.0,False,1.0,7.0,70,13,57,57,114,0.8143,70,70,714,0,0,714,0.2873,True,178.88,4198,14409,18607
folding,p01,random_01,grok-4-1-fast,True,True,True,True,70,70.0,,7.0,,,False,False,False,7.0,0.0,False,1.0,7.0,70,16,54,54,108,0.7714,70,70,770,0,0,770,0.3099,True,146.39,4309,19538,23847
folding,p01,random_01,mimo-v2-flash,True,False,False,,16,16.0,9.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,70,3,13,67,80,0.9302,16,70,0,-54,0,-54,-0.0217,True,3.98,4433,299,4732
folding,p01,random_01,qwen3-5-35b-a3b-alibaba,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,7.0,70,0,0,70,70,1.0,0,70,0,0,70,70,0.0282,True,251.02,4818,16000,20818
folding,p01,random_02,gpt-5-mini,True,True,True,True,70,70.0,,7.0,,,False,False,False,7.0,0.0,False,1.0,7.0,70,13,57,57,114,0.8143,70,70,714,0,0,714,0.2873,True,202.22,4198,16574,20772
folding,p01,random_02,grok-4-1-fast,False,False,False,,12,,,,parse_error,1.0,True,False,False,,,False,,7.0,70,4,8,66,74,0.9024,12,70,0,-44,14,-30,-0.0121,True,133.39,4309,17894,22203
folding,p01,random_02,mimo-v2-flash,True,False,False,,17,17.0,8.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,70,7,10,63,73,0.8391,17,70,0,-53,0,-53,-0.0213,True,4.03,4433,294,4727
folding,p01,random_02,qwen3-5-35b-a3b-alibaba,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,7.0,70,0,0,70,70,1.0,0,70,0,0,70,70,0.0282,True,251.2,4818,16000,20818
folding,p01,random_03,gpt-5-mini,True,True,True,True,70,70.0,,7.0,,,False,False,False,7.0,0.0,False,1.0,7.0,70,13,57,57,114,0.8143,70,70,714,0,0,714,0.2873,True,196.94,4198,16046,20244
folding,p01,random_03,grok-4-1-fast,False,False,False,,4,,,,parse_error,1.0,True,False,False,,,False,,7.0,70,2,2,68,70,0.9459,4,70,0,-24,42,18,0.0072,True,131.86,4309,17403,21712
folding,p01,random_03,mimo-v2-flash,False,False,False,,11,,,,parse_error,1.0,True,False,False,,,False,,7.0,70,1,10,69,79,0.9753,11,70,0,-59,0,-59,-0.0237,True,3.38,4433,201,4634
folding,p01,random_03,qwen3-5-35b-a3b-alibaba,True,False,False,,77,77.0,2.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,70,12,65,58,123,0.8367,77,70,889,7,0,896,0.3606,True,99.67,4818,14098,18916
folding,p01,random_04,gpt-5-mini,True,False,False,,70,70.0,44.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,70,13,57,57,114,0.8143,70,70,714,0,0,714,0.2873,True,176.15,4198,14265,18463
folding,p01,random_04,grok-4-1-fast,True,True,True,True,70,70.0,,7.0,,,False,False,False,7.0,0.0,False,1.0,7.0,70,13,57,57,114,0.8143,70,70,714,0,0,714,0.2873,True,141.39,4309,18813,23122
folding,p01,random_04,mimo-v2-flash,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,7.0,70,0,0,70,70,1.0,0,70,0,0,70,70,0.0282,True,100.17,4431,18441,22872
folding,p01,random_04,qwen3-5-35b-a3b-alibaba,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,7.0,70,0,0,70,70,1.0,0,70,0,0,70,70,0.0282,True,244.99,4818,16000,20818
folding,p01,random_05,gpt-5-mini,True,True,True,True,70,70.0,,7.0,,,False,False,False,7.0,0.0,False,1.0,7.0,70,13,57,57,114,0.8143,70,70,714,0,0,714,0.2873,True,158.64,4198,12562,16760
folding,p01,random_05,grok-4-1-fast,True,True,True,True,70,70.0,,7.0,,,False,False,False,7.0,0.0,False,1.0,7.0,70,13,57,57,114,0.8143,70,70,714,0,0,714,0.2873,True,155.63,4309,21265,25574
folding,p01,random_05,mimo-v2-flash,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,7.0,70,0,0,70,70,1.0,0,70,0,0,70,70,0.0282,True,3.85,4433,282,4715
folding,p01,random_05,qwen3-5-35b-a3b-alibaba,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,7.0,70,0,0,70,70,1.0,0,70,0,0,70,70,0.0282,True,176.38,4818,16000,20818
